Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),Environment:Site Day Type Index [](Hourly),DINING PEOPLE:People Occupant Count [](Hourly),KITCHEN PEOPLE:People Occupant Count [](Hourly),Total People,DINING:Zone Other Equipment Convective Heating Rate [W](Hourly),DINING:Zone Other Equipment Latent Gain Rate [W](Hourly),DINING:Zone Other Equipment Total Heating Rate [W](Hourly),KITCHEN:Zone Other Equipment Convective Heating Rate [W](Hourly),KITCHEN:Zone Other Equipment Latent Gain Rate [W](Hourly),KITCHEN:Zone Other Equipment Total Heating Rate [W](Hourly),Total Cooling Rate [W],DINING:Zone Mean Air Temperature [C](Hourly),KITCHEN:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly) ,Mean air Temperature [°C]
 06/05  03:00:00,15.6916666666666,0,5,0,0,0,0,0,0,0,0,0,0,24.0951978479141,26.2397923330397,11.5783415367703,24.6800766189778
 06/05  04:00:00,14.9333333333333,0,5,0,0,0,0,0,0,0,0,0,0,24.0966468101976,26.7407101001553,11.2801008426347,24.8177418695997
 06/05  05:00:00,14.1916666666666,17.0833333333333,5,14.0070863409947,0.376395,14.3834813409947,1410.9509995026,2301.37795505063,3712.32895455323,9251.99035154675,8753.72322441759,18005.7135759643,21718.0425305176,24.1209306465686,21.1721255701335,10.9536475002341,23.3167257019165
 06/05  06:00:00,15.2999999999999,251.916666666666,5,28.0141726819894,0.75279,28.7669626819894,2472.31307659565,1890.77845125127,4363.09152784692,8045.76019542136,4551.2068383361,12596.9670337575,16960.0585616044,23.9738399598347,21.0000272323802,11.9811105034825,23.1628148707231
 06/05  07:00:00,17.7,595.75,5,112.056690727957,3.01116,115.067850727957,7060.29679235738,5297.70414782212,12358.0009401795,8833.61004033019,6674.7057515809,15508.3157919111,27866.3167320906,23.910086893109,21.6537630943394,17.292148790291,23.2947370450612
 06/05  08:00:00,20.0999999999999,769.5,5,112.056690727957,3.01116,115.067850727957,5636.39387244693,5090.2929285806,10726.6868010275,7585.10751876165,9576.2627904681,17161.3703092298,27888.0571102573,25.0999235708732,23.4111182541407,25.4623779798419,24.6393486766137
 06/05  09:00:00,22.2083333333333,856.583333333333,5,112.056690727957,3.01116,115.067850727957,5676.46781747611,5194.60456759709,10871.0723850732,6733.59125544176,10254.2020762351,16987.7933316769,27858.8657167501,25.980280008659,25.1467010291104,34.927668026577,25.7529444202648
 06/05  10:00:00,24.05,906.75,5,56.0283453639789,1.50558,57.5339253639789,5106.95113360515,3381.28997243127,8488.24110603642,7833.66773612697,10957.5734814526,18791.2412175796,27279.482323616,25.9999999999999,25.997379990654,42.3644087354563,25.9992854649878
 06/05  11:00:00,25.9083333333333,947.166666666666,5,140.070863409947,3.76395,143.834813409947,9682.1586261521,6460.81089197102,16142.9695181231,9643.48039079698,10361.9008179572,20005.3812087542,36148.3507268773,26,25.9999999965708,47.3841630236494,25.9999999990648
 06/05  12:00:00,27.1083333333333,960,5,224.113381455915,6.02232,230.135701455915,13920.5023717381,9225.55985192073,23146.0622236588,9870.82369578019,8706.52721085084,18577.350906631,41723.4131302899,26,25.9999999999999,50.6038779600915,26
 06/05  13:00:00,27.8666666666666,959.666666666666,5,196.099208773926,5.26953,201.368738773926,13117.0747370535,8042.5624875882,21159.6372246417,9538.28779969162,7084.66067850293,16622.9484781946,37782.5857028363,25.9999999999999,26.0000000000001,51.9065906990749,26
